                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0187,                 3.8615,                 2.2699,                 1.5765,                 7.2633,                 1.9953,                0.00387,                0.66667,                0.11371,                0.05074,                 2.3001,                 4.2932,                 2.8071,                 2.0908,                 9.3939,                  2.933,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.8445,                 3.7051,                 2.1378,                 1.5837,                 7.6116,                 2.0001,                0.00514,                0.66667,                0.18952,                0.13754,                 2.3218,                 4.2142,                 2.9654,                 2.1115,                 9.3813,                 2.9969,             0.00010804,             0.00010804,             0.00010804
                      3,                 1.7578,                  3.445,                 1.9048,                 1.5101,                 6.0699,                 1.7416,                0.00363,                0.66667,                0.44222,                0.21927,                 2.3829,                 4.3351,                  3.034,                 2.0594,                 9.0368,                 3.0738,             0.00016114,             0.00016114,             0.00016114
                      4,                  1.618,                 3.5133,                 1.8459,                 1.4482,                 6.5469,                 1.6936,                0.00289,                0.66667,                0.66333,                0.15081,                 2.6966,                 4.4227,                  3.234,                 2.3318,                  9.241,                 3.0163,             0.00020928,             0.00020928,             0.00020928
                      5,                 1.6425,                 3.1729,                 1.6919,                 1.3272,                 6.1487,                 1.5515,                0.00406,                0.66667,                0.20729,                0.10239,                 2.7552,                 4.4132,                 2.7083,                 2.1214,                 9.1565,                 2.8217,             0.00025248,             0.00025248,             0.00025248
                      6,                 1.4332,                 3.0693,                 1.6417,                 1.2326,                 6.1786,                 1.4962,                0.00555,                0.66667,                0.07463,                0.05836,                 2.7873,                 4.2896,                 2.5733,                 2.3489,                 9.3589,                 2.6758,             0.00029073,             0.00029073,             0.00029073
                      7,                  1.422,                 2.9814,                 1.5764,                  1.262,                 6.3651,                 1.4445,                0.00335,                0.66667,                0.02613,                0.01245,                 3.1984,                 4.5033,                 2.8128,                 2.8889,                 9.9015,                 2.4104,             0.00032402,             0.00032402,             0.00032402
                      8,                 1.5624,                 2.9044,                  1.672,                 1.3013,                 6.3804,                 1.5149,                0.00348,                0.66667,                0.06097,                0.03348,                 2.9673,                 4.6157,                 2.6466,                  2.823,                 9.7873,                 2.3498,             0.00035237,             0.00035237,             0.00035237
                      9,                 1.5121,                 2.9648,                 1.5877,                 1.2989,                  6.406,                 1.4873,                0.00338,                0.66667,                0.18952,                0.07297,                 3.0529,                 4.5768,                 2.6841,                 2.5252,                 9.5088,                 2.4629,             0.00037576,             0.00037576,             0.00037576
                     10,                 1.6099,                 2.8119,                 1.6878,                 1.2967,                 5.9647,                 1.4805,                0.00419,                0.66667,                0.33293,                0.17074,                 3.1408,                 4.6324,                 3.0389,                 2.8931,                 10.107,                 2.8135,             0.00039421,             0.00039421,             0.00039421
                     11,                 1.5095,                 2.7778,                 1.6786,                 1.2056,                 5.8548,                 1.4606,                0.00431,                0.66667,                 0.3325,                0.17844,                 3.1352,                 4.4818,                 2.9859,                 2.8264,                 10.153,                 2.6033,              0.0004077,              0.0004077,              0.0004077
                     12,                 1.4847,                 2.8457,                 1.6416,                 1.3479,                 6.4706,                 1.5233,                0.00432,                0.66667,                0.33256,                0.16986,                 3.3131,                 4.4947,                 2.9377,                 2.9133,                 10.216,                  2.672,             0.00041625,             0.00041625,             0.00041625
                     13,                 1.4253,                 2.8229,                 1.6254,                 1.2284,                 6.3091,                 1.4916,                0.00327,                0.33333,                0.16583,                0.08213,                 3.0255,                 4.5291,                 2.8407,                   3.22,                 10.718,                 2.5171,             0.00041984,             0.00041984,             0.00041984
